length,segment_over_sqrt_length
1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,2.121320343559642385e+00
3.000000000000000000e+00,1.732050807568877415e+00
4.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,1.788854381999831711e+00
6.000000000000000000e+00,1.632993161855452291e+00
7.000000000000000000e+00,1.889822365046136099e+00
8.000000000000000000e+00,1.767766952966368654e+00
9.000000000000000000e+00,1.666666666666666741e+00
1.000000000000000000e+01,1.897366596101027536e+00
1.100000000000000000e+01,1.809068067466581775e+00
1.200000000000000000e+01,1.732050807568877415e+00
1.300000000000000000e+01,1.664100588675687442e+00
1.400000000000000000e+01,1.870828693386970665e+00
1.500000000000000000e+01,1.807392228230127795e+00
1.600000000000000000e+01,1.750000000000000000e+00
1.700000000000000000e+01,1.697749375254330895e+00
1.800000000000000000e+01,1.885618083164126935e+00
1.900000000000000000e+01,1.835325870964493955e+00
2.000000000000000000e+01,1.788854381999831711e+00
2.100000000000000000e+01,1.745743121887939120e+00
2.200000000000000000e+01,1.705605730844883317e+00
2.300000000000000000e+01,1.668115312456598165e+00
2.400000000000000000e+01,1.837117307087383633e+00
2.500000000000000000e+01,1.800000000000000044e+00
2.600000000000000000e+01,1.765045216243656512e+00
2.700000000000000000e+01,1.732050807568877193e+00
2.800000000000000000e+01,1.700840128541522445e+00
2.900000000000000000e+01,1.671258043593466969e+00
3.000000000000000000e+01,1.825741858350553803e+00
3.100000000000000000e+01,1.796053020267749156e+00
3.200000000000000000e+01,1.767766952966368654e+00
3.300000000000000000e+01,1.740776559556978409e+00
3.400000000000000000e+01,1.714985851425088192e+00
3.500000000000000000e+01,1.690308509457033148e+00
3.600000000000000000e+01,1.666666666666666741e+00
3.700000000000000000e+01,1.808388860358930206e+00
3.800000000000000000e+01,1.784435632438388097e+00
3.900000000000000000e+01,1.761409691855958526e+00
4.000000000000000000e+01,1.739252713092608538e+00
4.100000000000000000e+01,1.717911380774666652e+00
4.200000000000000000e+01,1.697336849583011009e+00
4.300000000000000000e+01,1.677484273658651492e+00
4.400000000000000000e+01,1.809068067466581775e+00
4.500000000000000000e+01,1.788854381999831711e+00
4.600000000000000000e+01,1.769303473858765630e+00
4.700000000000000000e+01,1.750379897974734700e+00
4.800000000000000000e+01,1.732050807568877415e+00
4.900000000000000000e+01,1.714285714285714191e+00
5.000000000000000000e+01,1.697056274847714041e+00
5.100000000000000000e+01,1.820364109236412675e+00
5.200000000000000000e+01,1.802775637731994784e+00
5.300000000000000000e+01,1.785687331332957317e+00
5.400000000000000000e+01,1.769075925343406297e+00
5.500000000000000000e+01,1.752919642404429323e+00
5.600000000000000000e+01,1.737198072430758522e+00
5.700000000000000000e+01,1.721892064184556981e+00
5.800000000000000000e+01,1.706983627176393181e+00
5.900000000000000000e+01,1.822644753731534228e+00
6.000000000000000000e+01,1.807392228230127795e+00
6.100000000000000000e+01,1.792516319060543761e+00
6.200000000000000000e+01,1.778001778002666899e+00
6.300000000000000000e+01,1.763834207376393737e+00
6.400000000000000000e+01,1.750000000000000000e+00
6.500000000000000000e+01,1.736486284248918599e+00
6.600000000000000000e+01,1.723280873710658190e+00
6.700000000000000000e+01,1.710372220988273018e+00
6.800000000000000000e+01,1.697749375254330895e+00
6.900000000000000000e+01,1.805787796286538072e+00
7.000000000000000000e+01,1.792842914001590460e+00
7.100000000000000000e+01,1.780172487290779815e+00
7.200000000000000000e+01,1.767766952966368876e+00
7.300000000000000000e+01,1.755617207941958524e+00
7.400000000000000000e+01,1.743714581157289167e+00
7.500000000000000000e+01,1.732050807568877193e+00
7.600000000000000000e+01,1.720618004029213166e+00
7.700000000000000000e+01,1.709408646894569062e+00
7.800000000000000000e+01,1.698415551216893471e+00
7.900000000000000000e+01,1.687631851389035820e+00
8.000000000000000000e+01,1.788854381999831711e+00
8.100000000000000000e+01,1.777777777777777679e+00
8.200000000000000000e+01,1.766904417197544541e+00
8.300000000000000000e+01,1.756228159835045544e+00
8.400000000000000000e+01,1.745743121887939120e+00
8.500000000000000000e+01,1.735443662549249311e+00
8.600000000000000000e+01,1.725324371255014588e+00
8.700000000000000000e+01,1.715380055740471699e+00
8.800000000000000000e+01,1.705605730844883317e+00
8.900000000000000000e+01,1.695996608010176043e+00
9.000000000000000000e+01,1.686548085423135612e+00
9.100000000000000000e+01,1.782084222427261277e+00
9.200000000000000000e+01,1.772372519485135633e+00
9.300000000000000000e+01,1.762817881041722989e+00
9.400000000000000000e+01,1.753416118639948618e+00
9.500000000000000000e+01,1.744163198544762094e+00
9.600000000000000000e+01,1.735055234471418073e+00
9.700000000000000000e+01,1.726088480727152596e+00
9.800000000000000000e+01,1.717259325738758280e+00
9.900000000000000000e+01,1.708564285940660454e+00
1.000000000000000000e+02,1.699999999999999956e+00
1.010000000000000000e+02,1.691563223356981505e+00
1.020000000000000000e+02,1.782265577358013831e+00
1.030000000000000000e+02,1.773592700695727720e+00
1.040000000000000000e+02,1.765045216243656512e+00
1.050000000000000000e+02,1.756620131307359722e+00
1.060000000000000000e+02,1.748314552243075415e+00
1.070000000000000000e+02,1.740125680282194276e+00
1.080000000000000000e+02,1.732050807568877193e+00
1.090000000000000000e+02,1.724087313398072530e+00
1.100000000000000000e+02,1.716232660642066143e+00
1.110000000000000000e+02,1.708484392354498338e+00
1.120000000000000000e+02,1.700840128541522445e+00
1.130000000000000000e+02,1.787369649928834736e+00
1.140000000000000000e+02,1.779513042005218537e+00
1.150000000000000000e+02,1.771759135656596262e+00
1.160000000000000000e+02,1.764105712681992788e+00
1.170000000000000000e+02,1.756550621379892041e+00
1.180000000000000000e+02,1.749091774006814370e+00
1.190000000000000000e+02,1.741727144353601542e+00
1.200000000000000000e+02,1.734454765433026013e+00
1.210000000000000000e+02,1.727272727272727293e+00
1.220000000000000000e+02,1.720179174807852096e+00
1.230000000000000000e+02,1.713172305868121192e+00
1.240000000000000000e+02,1.796053020267749156e+00
1.250000000000000000e+02,1.788854381999831711e+00
